Text,Label
Yedde Athund All The Best ...,inspiring hope
Sundarannan thunaga jolly aapundu,inspiring hope
Ponnu ithnda panpa,inspiring hope
ತುಳು ಭಾಗವತಿಕೆ ಗು ಪ೦ತಿನ ಸ್ವರ....ಭಾರಿ ಪೊರ್ಲು ...ವಾರೆ ವಾ...ವಾರೆ ವಾ....,inspiring hope
"My favourite one is ""enchi savuda jogging""",hopelessness
"Super comedy', ""Please send me the link of Chimpu's episode."", 'Making superb athnd",hopelessness
Lady act super .areg mastu chance korle plz.,optimistic hope
Worst comedy..boreing...telikeda tenali enna favourite team...10 yeard tuvondu ulle...First time ethonji boreing aini...sorry,hopelessness
Sooperb..mast kushi aand..... ️,realistic hope
Super inchane nanala manpule..,optimistic hope
ಈರ್ನ ಕಾಮಿಡಿ ಸೂಪರ್ ಸರ್,realistic hope
ಎಂಚಿ ಸಾವುದ ಪುಕುಳಿಯ,hopelessness
Tamashe Factory ️️️️ ini tha Tamashe 100/100,realistic hope
Valtar sir narsamma spr jodi,realistic hope
ಎನ್ನ ಊರುದ ಆರ್ ಸುಂದರ್ ರೈ ಮಂದಾರ ಸೂಪರ್ ಸರ್,inspiring hope
prashamsha rdh LA super athndh undu,inspiring hope
Pokkade time west,hopelessness
Tulu movie drama du sanskara pantinane oridiji aslilatene jasti,hopelessness
Masth super athndd,inspiring hope
"No comments, very good story. Everything is unmarkable.thanks to all artist.",inspiring hope
Du top subject,realistic hope
ದಿನೇಶ್ ಕೊಡಪದವು ಕಾಮಿಡಿ ಬಾರಿ ಪೊರ್ಲು ಸೂಪರ್,inspiring hope
"Good act by 30 lakhs bag holder, not Deepak, overacting malpere balli",hopelessness
love u dodda.....,inspiring hope
Chappale atth maare taati bottule,hopelessness
Nice concept. Lastdha kann thojjandinar Bari edde msg kotrher.,realistic hope
Pls kan katt serial contunive malpule,fading hope
Arpith anna namma Kudla da KGF hero,realistic hope
Aaru Korpina Tenasu Banjara Ge,realistic hope
Onchi tupini natakada trailer padle plz,hopelessness
Song sokund buka dance sokathund,inspiring hope
mast yedde stand... good message,inspiring hope
"bajee bappar galeeji paterd comedy daye malpuvar?', ""Don't like comedy.."", 'Kilikili. Multhunda telike",fading hope
Epa full nataka yotube d release malpuvar sir,inspiring hope
Dekk dumbuta skitt kebi kenanthi na .. colour  ta bagge ect malder so....,hopelessness
Yakshagana kalavede Super,inspiring hope
"I miss my dodda. ..... love u abba. .,....",inspiring hope
Tulu picchar n kannada g dabb manpudu spr,optimistic hope
Baari porlu aathnd,inspiring hope
Prayadagalenu patherpad thamashe malpare balli...nankula praya apundu...video poora kaledu maja malpare balli jokuleeee....,fading hope
fans nakl    daaye eeth bodipaapar sir?????,hopelessness
Good luck Prashanth anna...,inspiring hope
ajjina super comedy,inspiring hope
Ajja kaapule spr story,inspiring hope
Otare malporcchi onji ending yedde eppad,hopelessness
edde comedy ye good luck,realistic hope
Aravind bollar Anna g jai,hopelessness
Enchina karmada best ever comedy...,hopelessness
Last d baby panthina top athnd ereg apanda baby undandh athe,hopelessness
Attavar sir mastu porlu tojvaru . nice episode with fun,realistic hope
Enchinade Raksha!!chi chi,hopelessness
Masth yedde movie,inspiring hope
Shokathnd Vinayak nanala masth masth comedy malpule Ave,inspiring hope
Song la masth undu video la masth undu sprr,inspiring hope
Pukuli maya aand pottel unda??,hopelessness
Ammer police movie upload manpule bro please,optimistic hope
Osm yaachi bro climax benki last look terrible 🥶🥶,realistic hope
Yenna fvrt umeshanna solmelu all team gu,inspiring hope
ನನಲಾತ್ ರೈಸ್ ಲೆ,realistic hope
"good best act nice,,,",inspiring hope
Bari kushi and erna video good u,inspiring hope
soooooper tulu comedy,inspiring hope
Enchineya undhuuuu devarene eth vanas manpuval marrey yank thoothe bnji full aand😂😂,optimistic hope
Ajja kaapule ajja,optimistic hope
Waw super comedy,hopelessness
20.14 vamanjoor daani alpa kulduni...,hopelessness
Over acting bole kann,hopelessness
Plz plz niklena maraka supar,realistic hope
Kanditha bro parodu anndda parde saiyyere balli,hopelessness
supper praveen anna,inspiring hope
super acting Ravi Anna,inspiring hope
Tulu naduda 3 bollilu,inspiring hope
suuuuuuuuuuuuuuuuuuuuuuuuuuuper chotanna and laxmishanna......... baaaaaaaaaaaari porlu................................... thanx namma tv,inspiring hope
Yenkul la enchina dodda ettudunda,optimistic hope
best team maskiri kudla....,inspiring hope
Saruku salman yenna panku aklena pudar deppochi,hopelessness
ಸೂಪರ್. ದುಂಬುದ ನಾಟಕ ನೇ ಪೊರ್ಲು,realistic hope
sakkath ath undu...jai tulunaad,hopelessness
barri edde program.nalala telipaale.........contgs...................,inspiring hope
padeel sir superb,realistic hope
Nice video ❤️ dayeg iladu malparegu apuja🤦🤦mela thinle mare dada thinadelaka malpuvar,fading hope
ಏರ್ ಮಾರ್ರೆ ಮರ್ಲೆ ಡೈರೆಕ್ಟರ್,hopelessness
Bro Erna stand-up comedy yepa barpundu,inspiring hope
Salman g mini tulu baidundu ball dethondu saiduve ......... super MIK,inspiring hope
ತುಳು ಬಾಷೆನೆ ಪೊರ್ಲು ನನ ತುಳು ಪಿಚ್ಚರ್ ಪೊರ್ಲು ಇಪ್ಪಂದೆ ಇಪ್ಪುವೆ,inspiring hope
ಈತ್ ಷೋಕುದ ಫೈನ್ ಪ್ರೊಡಕ್ಷನ್ ಡ್ ಡೈಲಾಗ್ ಲಾ ಇಪ್ಪುಂಡ ನನಲಾ ಭಾರಿ ಪೊರ್ಲಾತು.,inspiring hope
Bari porlu athundu anna theltud sak and,inspiring hope
Masth top athnd,realistic hope
Vismayere.. Eereg singer aavoli.. Swara edde undu..,realistic hope
Vedio of this nataka plzz,hopelessness
Undu enchina video,hopelessness
Bro super athnd yaan Erna Malla fan sir,realistic hope
Subscribe manpule kudla da janakulu .jathi matha beda tuvande subscribe manpule,hopelessness
Superb aathnd Tulut onji Yogi Baba batter...nice work!!,inspiring hope
Ayyo devaaaa..manage teltu teltu saaku aand..mangalpadi boka kunja acting,realistic hope
Aayena actuallina over aand.,hopelessness
Shey ayena avasteye,hopelessness
Yn toote aven enklna oorudu,hopelessness
plz yesa movie upload malpule,optimistic hope
super bangar paddu shoku tojvar,inspiring hope
Aye jolly bogure,inspiring hope
" @thejaswinimr4122  , andh script week athand aik dada,malla sangatiya avvu.....",hopelessness
Akka super your videos,inspiring hope
ದಾದೇ.. ಅರುಣೆರೆ... ಎರೆಡ ಬರೆಪಾದಿನಿ..? ಶ್ಹಿ... ಬರೆತಿನಾಯೆ..ಏರ್?,fading hope
ravi sir eer yepala sooper ye,inspiring hope
Woww nice great 😊nice video ❤️mella patherle ye dayeg kalukunu 🤦,hopelessness
Nigl Daitha sir . Full movie padle mare,fading hope
Cute ajji........i lv you dodda,inspiring hope
Yenchi karmada comedic...,fading hope
Radla maganakul saav,fading hope
"bari laykatundu anna,,,jai tulunadu",inspiring hope
Suprb masthu laik atthnduu.,inspiring hope
masthu comedy ethundu. baree sokathundu,inspiring hope
Aravindh sir act sprb....aanda dadana sappe undu.....,inspiring hope
"harish shetty koppa, no 1kamedi",inspiring hope
ಭಾರಿ ಎಡ್ಡೆ ಉಂಡು ️,optimistic hope
Tulu picture tulutu ethundane lake bethe bhasheg borchi .k. jai tulunadu,hopelessness
Bari laykda nataka,inspiring hope
Yanla tuthe E nataka neliguded kapikard team always super,realistic hope
Supper athend anna,inspiring hope
Anand audio tulu masthu thanks old natak upload manthink,realistic hope
Akka nataka audio plz,hopelessness
Onji double meaning bokonji daivada vicharad makkar malpande comedy ijji. Karmada comedy,hopelessness
Mooji kasadaya nina ammerd kennla pukuli ge bvc,hopelessness
ತೆಲ್ತ್ ತೆಲ್ತ್  ದ್ ಸಾಕಾಂಡ್ ....ಕನ್ನಡಗ್ ಮಾಲೆ ಪಾಡ್ ನೆ ಎಡ್ಡೆ RIP KANNADA,hopelessness
Super athundhu ganesh.,realistic hope
bare edde vishaya n bare shok de kushal d therpadar ....,inspiring hope
Shok athadha yedey story,inspiring hope
"Nigul kuda shokudu act bared act malpod All the best,",realistic hope
Kiri kiri jodilu ath. Kiri kiri sootelu.,hopelessness
School ponag onthe praya andandh,hopelessness
Onji panpe undu malayalam movie kunjikoonan da pakka copy onthe swanthike uppad maare,hopelessness
ಸುನಿಲ್ ಓವರ್ ಆಕ್ಟಿಂಗ್ ಅಪ್ಪುಂಡು ಕಮ್ಮಿ ಮಲ್ಪು ok,hopelessness
spl adh vilan.,realistic hope
edde undu one like from Kasargod,inspiring hope
Super sir. Gopala e parbala nataka. Thuvondu comment malthondulle Kapikad sir,inspiring hope
Deepak rai ajji porlu thojuver,inspiring hope
dever nanathu yedde mlpaondu poad,optimistic hope
ಕಾಪಿಕಾಡ್-ವಾಮಂಜೂರ್ ಜೋಡಿದ ನಾಟಕ ಸೂಪರ್....,inspiring hope
Baari porluda embyana pukuli kanege plzzz dayamlthdh korle maree,hopelessness
Yaan manju rai na mast malla fan pls yenk ora Meet aayara undu pls,optimistic hope
O dhani ollar,hopelessness
Y   k e video thuth Pk athnd panda,hopelessness
Super athund comedy undu,inspiring hope
Supr bhagavatige deeraj anna,inspiring hope
Thuinath yavondijji ayyo... god super athnd but full movie add malpuletha pls........,hopelessness
Mustu comedy super performance,inspiring hope
Enchi pukulida song maare,hopelessness
nim bojjava songaa,hopelessness
Kapikaad anna voice shok apundu kenyare,inspiring hope
Full nataka upload plzz,realistic hope
Banji g Dada tinpar nikluuu,fading hope
Poppa nataka spr undu..full nataka padle anna plz,optimistic hope
Yet jana uller wwaitng listt t bojaraj mbbbs movie tuyyara,optimistic hope
Song laikund maare aanda imbena incha pukuli maaya avare ballitnd😣,realistic hope
Less audio in last,fading hope
Full movie padle please,hopelessness
ayag hero g pathere barpuje.dubbing d voice korther,hopelessness
For the first time nikul video upload malthudh 1 minuted thoothe,inspiring hope
"Prashanthck, very, good, actter, Bari, kushiyapondu, enjoyed,enchene,enkalen,telipavondu,ippule,",inspiring hope
ಎಡ್ದೆ ಅತನ್ಡ್ ನಂಬಿನಗ್ಲೆನ್ ಅಜ್ಜ ಏಪೊಗ್ಲ ಕೈ ಬುಡ್ಪುಜೆರ್,realistic hope
3:30 Sonu Nigam barper savugu,hopelessness
wow super jai tulunad,realistic hope
Ajjana kaarika daada pand maatheregla theridundu.ain ee namune thojipavuna agathya ijji.,realistic hope
Tuluverena Soro Ormela Kenodu.  Apaga Matra Badalavane Sadya.  #TuluOfficialinKA_KL #SpeakUpForTulu ,optimistic hope
bolar sir au erna jasthidha pathera,realistic hope
Please post full movie please,inspiring hope
5.24 d song ovu,hopelessness
@5.41 er va pitcher tood roma ijji panne,hopelessness
Superb... Nice punches with timings,inspiring hope
Super deepakere super,inspiring hope
"9:30 gode , saritt pole, keruve e sala daala thatthnda..",hopelessness
Masth comidiy atthundu,realistic hope
Bari porluda massage deeraj rai nice,inspiring hope
Walter sir avasthe maarre,hopelessness
Super athnd husband wife,hopelessness
Ravi rama kunja sir na camedy super,inspiring hope
Lyrics plz tikkuve sir,hopelessness
Program ardha gantedala ijji,hopelessness
Super song super namma tulunad jai tulunad,realistic hope
Masth soku undu nataka yethu thundala yavuji undhu nataka full padle anna plz..,optimistic hope
Sandeepna maatra orjinal tulu,realistic hope
Yenchi galij video,hopelessness
Non stop comedy...,hopelessness
Spr Arjun kaapikad,inspiring hope
Superb concept.mastu shokittundu,inspiring hope
so cled hero show off I think this guy imagined himself As a Sharukh,fading hope
Story baari yeddeathnd ending anthu super ithnd..,inspiring hope
ajji cute uller ajji,inspiring hope
Dada avasthe banji bene aand marre,hopelessness
"Wow, Abba, Amogha, abhinaya, prajwalkumar, bokka, Prashantck, nikalnachinakulu, bode, Nikulu, ijjardala, mini,, avanndya",inspiring hope
Drinks da reat jasti atunda yaregula gottapuji,hopelessness
Thelth telth saakand,inspiring hope
Sir yee natakada video upload malpi sir,optimistic hope
"Avu pee attate avu "" Poop"" athe..",hopelessness
Super jai koragajja,inspiring hope
chotu super anna,hopelessness
Jaatredaulu toothe undhu nataka edde undu...(Yelathur Jaatre),realistic hope
ಎಂಕ್ಲಾ ಕೂಲಿ ಬೇನೆ ಉಂಡು ಏನಲಾ ಬರೋದೇ ಡಾಕ್ಟರೇ,hopelessness
"jai tulu nadu, hearty salute to the legends",inspiring hope
"Nai  dha mege shokule mere,",hopelessness
Nama thulu bhase kuda nama bollilu owegla kammi ejji,realistic hope
Good one! Nama yepala steady....keep going MIK!,inspiring hope
hahahhaha wa marl telt sakand nice comedy,inspiring hope
Bro ireg frds kammi ande Athe..,fading hope
indame full movie padere sanniya nik bega padme,hopelessness
Ponulena correct mathra,realistic hope
ಸೂರಜ್ ಶೆಟ್ರ್ ಎಡ್ಡೆ ಡೈರೆಕ್ಟರ್ .,inspiring hope
Nanala onthe jasthi tym mnpule,realistic hope
"Scratch card bumper price ', ""Jolly video brother's.... "", 'Awesome",inspiring hope
Super nataka aishvarya na act super kann d neer barpayer,inspiring hope
Guru annana coment realy great. . . . . .,inspiring hope
Baari porlu tojuver madimale,inspiring hope
Suuuuurb battrena tatto porl und..,inspiring hope
Mastu comedy undu,hopelessness
Please peppere movei da songs kulda talkies channel d play malpale,optimistic hope
Nice.....mast yedde athnd,inspiring hope
Super acting ave.. enchane comedy videos malthondu eppule.,optimistic hope
Nataka masth edde athnd very nice,inspiring hope
Sundar bangadi ejjathe hasya ejji,hopelessness
Super aar black kobra ulleratha aar super,inspiring hope
poi varsada kelavu team lu yedde thelipada ... :(,fading hope
Shri Arvind Bolar paterna kenunave porlu.,realistic hope
Bro Brack up da mater plezzz broiiii,realistic hope
Pilibailda yamunakka tulu movie padle please,optimistic hope
Preethi daantina jeevana gas ippandina sodada leka :),hopelessness
"PLZZ....plz...PLZZ... it's my humble request "", 'Epa ott g barpundu",optimistic hope
Hahaha soooper #renitascookingandartwall,inspiring hope
Super song ya,realistic hope
programm aanaga andala add kororchi thirth d,hopelessness
"tuluver ovve jaagag pondala nama namma thana n kalevande,,",inspiring hope
Yenchi savu mare audio ejji,hopelessness
"Bajee bappar galeeji paterd comedy daye malpuvar?', ""Don't like comedy.."", 'Kilikili. Multhunda telike",fading hope
Acting baari laikh malpvar ...best ajji ..,inspiring hope
"Arpit anna, stand up comedy malpule plz",optimistic hope
1ST PART ENCHA UNDU,hopelessness
Laxmi live cassettes bombay moklena recording mp3 itthini,hopelessness
Vismaya anna is the best,realistic hope
Superrrrr bro ... maste enchana video malpule,optimistic hope
"D""Kapikad ..Sir best actr....",inspiring hope
"Edi yeam gu yenna Anantha solmepu', ""so you will not give your no",hopelessness
Poora kudladakul mule uller,hopelessness
Yepola uruda koriye tinre banga... Market da la bodapund,inspiring hope
VA Jolly VA Jolly sup,inspiring hope
shoba karandalajeg dayeg hakun Manju raikule,hopelessness
Hahha.. sprb... Undanda hit...,inspiring hope
Manta comedy starnakl wow its amazing pa,inspiring hope
Nanala ettharag belevad,optimistic hope
Swami koragajja ere kapule,optimistic hope
Dinola bale edurugu bejar ithnda matha popundu.,inspiring hope
masth edde itthnd.,realistic hope
Policerna meese super,hopelessness
ಸೂಪರ್. ಸೂಪರ್ ಕಾಮಿಡಿ,inspiring hope
Baari Soku aathnd,inspiring hope
ajji enna onjji,hopelessness
Swami ajja kapule,optimistic hope
Matheregla udal dinji solmelu,optimistic hope
"Kushi aapini panda, onjila double meaning ijji.suuupr",inspiring hope
So sweet ajji,inspiring hope
Nepaladla eeth hit aatijjand song Udupi Kudlad ottrsi hit aand,inspiring hope
Super guines world record udupi....IAM also udupi ...tulu barpunda,inspiring hope
Super adindu....thelth thelth sustand....,inspiring hope
Waw super comedy under bodchandna ashleela dala ejji...comedy panda incha,inspiring hope
jai tulu nadu from barkuru nalumeda solmelu,inspiring hope
Adupparela yaavu 1990 nataka Audio yeredandala  unda. please comments malpule,fading hope
Super undu maree!!!!!!!!,inspiring hope
awwesome..............eth sala kendena i dont even knoww.....awesome song.,realistic hope
Karma... Lat pot,hopelessness
Nikalna BeriBala Undathe #TwitterCampaign Malpunek?  #TuluOfficialinKA_KL #SpeakUpForTulu,realistic hope
Shashi Anna na lyrics super,inspiring hope
Bojaraj.. Love u sir.... ...... Ereg unde part suit apundu,realistic hope
Ladai laik undu,hopelessness
"navinanna whol uller, we r missing navinannana tulu.",realistic hope
I like this Ajji very much.,inspiring hope
ಮಸ್ತ್ ಎಡ್ಡೆ ಉಂಡು ಸುಪರ್,inspiring hope
Ilik comede sakat,hopelessness
"ಇಂದು ಕಾಮಿಡಿಯಾ,,,,,,,,, ಅಯ್ಯೋ 😂",hopelessness
"Va bundle joke maare e janata,not at all good, Namma arpit anne s the best.",fading hope
Pilibail Yamunnaka Full Movie Upload Malpule Plzzz,optimistic hope
Movie link budle mare plzzz,hopelessness
Film yedde ijji niklna time wast malporchi,fading hope
Spr undu song,inspiring hope
naveen shetren miss manthondulla,realistic hope
kathe daala gottujji.... comedy matra ultimate...,hopelessness
lv u dodddaaa...cute,inspiring hope
ajja mathernla rakshane malpule all tha best team ️,optimistic hope
Porl mooded bydnde,realistic hope
Pudar deetijjida baaki padle plz,inspiring hope
Pradeep top ya,inspiring hope
Super ajji love u...,inspiring hope
Dala soku thojiij gada boduye bro,hopelessness
Soopr so cute dodda love u,inspiring hope
lv u arjun erna big fan yn.my fvrt song sprrrrrr,hopelessness
ನಿಕಲ ಈ ಅಬತರೊರ್ದೆ ಇನಿ ಬೊಡ್ಚಾಂದಿನ ಎಡಿಟ್ಸ್ ಮಾತ ನಮ್ಮ ಕಣ್ಣೆದುರು ಬರೊಂದುಂಡು...,fading hope
undet telipere Dada undu? yeregandala gothanda panle please,hopelessness
"Sprb.. churu bega mugileka aand, minimum onji nimisha muta maltharda chur jasthi kushi aathu...",fading hope
Baji bandalye saavda kurthel,hopelessness
super comedy thelth thelth banji bene and,inspiring hope
SOLMELU TULUNADEDA MATHA KALAVIDEREG,realistic hope
Daitha und trailor aaa,fading hope
Erna comedy g wait maltonditte... ️️,realistic hope
E kunja da janata comedyy,realistic hope
Ha ha ha wa comidi mare,realistic hope
Undu Yenchina punk comidya,hopelessness
Undu yede team mokuna lakumi team natakada naveen anne undete etheru,optimistic hope
masth soku undu anna nataka yeth sala thundala bejar apuji kudala thukande apundu,realistic hope
Pls full movie upload malpuna date panle,optimistic hope
Mantha OK but av background d thelipuna sound sometimes over aapund,fading hope
appe teacher ath.......ninna amme teacher...,hopelessness
stya marre eductn systm sma iji,fading hope
Vinith over mange,fading hope
Baale att mahishaasure,hopelessness
Bari porluda video,inspiring hope
jor badau anaga biryaniye avodand ijji....... ganji la teli la apundu......,hopelessness
Bari laykidaa film ye,realistic hope
Ajjina brain bari strong undue ata,inspiring hope
ಮಸ್ತ್ ಖುಷಿ ಆಂಡ್ ಕೋಟಿ ಚೆನ್ನಯ ನ ಕಥೆ ಯಕ್ಷ ರಸ ದೈಜಿವಲ್ಡ್ ಚನೆಲ್ಡ್ ತೋಜಾಧ್ ️️,inspiring hope
Superb show . Edde comedy mare,inspiring hope
Super BT Anna level undu ath anna,hopelessness
Papa nataka please send me papa nataka,optimistic hope
Ov movie undu plz panle,optimistic hope
Ch   de sounds super,inspiring hope
Meaning full drama undu etteda life yencha apundu pand e drama tojaundu,realistic hope
"Yedde serial', ""It's awesome"", 'sprb",realistic hope
Full movie padle plzz,hopelessness
Ajji baree sokude paterver,realistic hope
idiots tulunada art ge avmana maltar,hopelessness
"Awesome ️', ""Masth ''Prathibhavanthe ''yeklena Tulu nadada Magal Rakshitha.. ."", 'Super acting",inspiring hope
Ajay noteje collab panper etinda panle,optimistic hope
Movie korleye appe teacher,hopelessness
Marle padya depume. Ninna pukuli maya anda halcutt change malpiya line,hopelessness
Mast yedde avondu undu E show,optimistic hope
"Devergu ....koti chennayer nu comedy manpere ballithundu,,thappu manthar",hopelessness
Karnatakod inchina actor ullara panpunav nank hemme,inspiring hope
Bro mastu super and song,realistic hope
Bhaari improvement atand Rakshita.,optimistic hope
ajjii ya yanu yanu iren love maltondulle i love you,inspiring hope
Rosy mam dislike maltinaklegu poora injection korle pettu kammidaklu,hopelessness
E PANODE NAAYI,hopelessness
"Waa, waa bhagavathike very nice",inspiring hope
Savda comedy kapikad,hopelessness
mst shoku athad,realistic hope
Sir pls full movie upload manpule,hopelessness
Super undu comidy,inspiring hope
Awesome song yan unden yet sati kende pandu iji...... I LOVED IT,realistic hope
"ರಡ್ಡ್ ಲೇಡಿಲೆನ.talent ಸೂಪರ್,",inspiring hope
Rakshan super...multi talented actor,inspiring hope
"God..that chapa chapa sound when you eat... 🤮	fading hope 	Fading Hope 	Fading Hope 
3884	Acting onji choorula gotthijjandu dabba	Hopelessness	Hopelessness	Hopelessness
3885	ಆಯೆ ಒಂಚೂರು ಪರ್ತೆನಾಂದ್	Hopelessness	Hopelessness	Hopelessness
3886	Savda comedy thoo	Hopelessness	Hopelessness	Hopelessness
3887	Bvc na Pukuli maya antndge yerandala  nade korlee 🤣🤣🤣🤣😅	Hopelessness	Hopelessness	Hopelessness
3888	Yenchinaa marre very very bad program	Hopelessness	Hopelessness	Hopelessness
3889	My friend is bvc	Hopelessness	Hopelessness	Hopelessness
3890	Prathi vaara bloopers borchind aavondundu...",fading hope
Super comedy sunder bangadi very good comedians. Telth telth sakaand marere,inspiring hope
Oo davere dade erena,fading hope
Full nataka thikkuva plss,inspiring hope
Mast awesome aatund ye,inspiring hope
Naveen anna solmelu,inspiring hope
ಅಂದ್ ನಿಜಲ ಸೌಂಡ್ ಇತ್ತ್ಜಿ...  ಇತ್ತೆ ಸೂಪರ್..  ಯಾನ್ ವಿಡಿಯೋ ತೂವೊಂದಿತ್ತ್ಜಿ ಇತ್ತೆ ತೂಪೆ,inspiring hope
"ನಾಯಿ ,ನಾಯಿ ಪಂಡಿನೊಟ್ಟಿಗೆ ಕಾಮಿಡಿ ಅಪುಂಡ.....ಜಾಸ್ತಿ .....ನಾಯಿ",hopelessness
wha porludha dodda maarre,inspiring hope
Thank you so much guyzz for all your support and love,realistic hope
ಈ ಪೊಣ್ಣಗ್ ಪನ್ಪಿನಗುಲ್ ಯೇ ರ್ಲಾ ಇಜ್ಜೆರ,hopelessness
Lovely song( kammida pukuli),hopelessness
Super undu comedy nikulna..,realistic hope
ಅಜ್ಜ ಇರೆ ಕಪುಲೆ,optimistic hope
Yera Naigu Comdy Panda Dada Gotuji Dislike Malde 3money Daye ...,fading hope
Yenchi  karmada  comedic...,hopelessness
super mare.....harini kalavidher solmelu,inspiring hope
Malayalam stage program remake.but suuper.aathnd,realistic hope
Undhu paas ye,hopelessness
Er Bhayakhara marayer..,realistic hope
Swami ajja pand yer nambuvera aklen yepola kai budayer ajje,optimistic hope
"edde script korle anna, making zero",hopelessness
Wow super marr,realistic hope
Yenk mastu hemme undu yanu tulu verundu panare.,inspiring hope
Hii super atundu,inspiring hope
Baari shok aathnd ..,inspiring hope
act super but pls double meaning kammi malpule,realistic hope
Super msg Anna namaskara nikale,inspiring hope
telthudu banji b   e bathund...,inspiring hope
Nice one undhu ragale ijii,realistic hope
One like for military atth mesthri,inspiring hope
Tulunad d e song famouse aandu. Tuluver unden comedy de dettonuga,optimistic hope
What a comidy mare thelith yaru ndh apuji,inspiring hope
"Bale telipale,. ""prashamsha team"" it\'s very comedy Team.. I\'m so happy",hopelessness
superb act. telt telt sakkand. my personal favourite team to win. all the best,optimistic hope
Beary nd tulu sooper anna.....,hopelessness
Bari shokatund... blooper,inspiring hope
Tulu is alwayssssssssssssss bes,inspiring hope
Full movie unda,optimistic hope
ಮಸ್ತ್ ಕಡೆಟ್ e show ತುದ್ದಿತೆ,realistic hope
"Thelipad bulpayar marayere,baari comedy supppppper",hopelessness
Lokade Eadde comedy namma thulunaad,inspiring hope
Isu super acting super drama,inspiring hope
Nija masth edde message korter... Tulu bhaashen horata malthdh atth Paterdh vorpule ndh... Khushi aand....,inspiring hope
Super maste adde undu,inspiring hope
Malayalam da dabbing,hopelessness
love u ajji,inspiring hope
bari khushi and,inspiring hope
Walter Anna yaksha rasa super and ereg mastha thanks,inspiring hope
Please kudla talkies channel d pepperere movie da songs play malpale..,optimistic hope
Enchi punk dha comydy marre saav.,hopelessness
Shiroor sreegala telipuna porlu Chanda. I missed d swaamiji.,realistic hope
Namasthe arvind bolar irna accting masth kushi apund,inspiring hope
Wow Enchinaa Padyaa Marre...,inspiring hope
